"Name","IngredientName","RewardAmountMin","RewardAmountMax","RewardProbability"
"String","String","int","int","int"
"RandomIngredientSmall","PotionIngredient1",1,2,20
,"PotionIngredient2",1,2,20
,"PotionIngredient3",1,2,20
,"PotionIngredient4",1,2,20
,"PotionIngredient5",1,2,20
,"PotionIngredient6",1,2,20
"RandomIngredientMedium","PotionIngredient1",3,4,20
,"PotionIngredient2",3,4,20
,"PotionIngredient3",3,4,20
,"PotionIngredient4",3,4,20
,"PotionIngredient5",3,4,20
,"PotionIngredient6",3,4,20
"RandomIngredientBig","PotionIngredient1",5,6,20
,"PotionIngredient2",5,6,20
,"PotionIngredient3",5,6,20
,"PotionIngredient4",5,6,20
,"PotionIngredient5",5,6,20
,"PotionIngredient6",5,6,20
"Fixed_Potioningredient1","PotionIngredient1",1,1,100
"Fixed_Potioningredient2","PotionIngredient2",1,1,100
"Fixed_Potioningredient3","PotionIngredient3",1,1,100
"Fixed_Potioningredient4","PotionIngredient4",1,1,100
"Fixed_Potioningredient5","PotionIngredient5",1,1,100
"Fixed_Potioningredient6","PotionIngredient6",1,1,100
"RandomIngredientAny","PotionIngredient1",1,1,20
,"PotionIngredient2",1,1,20
,"PotionIngredient3",1,1,20
,"PotionIngredient4",1,1,20
,"PotionIngredient5",1,1,20
,"PotionIngredient6",1,1,20
